"Tabela 7136 - Estudantes, por sexo e grupo de idade"
"Variável - Estudantes"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Amapá";"0 a 5 anos";"17";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"14";"Mil pessoas";"12";"Mil pessoas";"12";"Mil pessoas";"14";"Mil pessoas";"18";"Mil pessoas";"14";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas"
"Amapá";"0 a 3 anos";"4";"Mil pessoas";"3";"Mil pessoas";"2";"Mil pessoas";"2";"Mil pessoas";"4";"Mil pessoas";"2";"Mil pessoas";"3";"Mil pessoas";"3";"Mil pessoas";"2";"Mil pessoas";"3";"Mil pessoas";"2";"Mil pessoas";"3";"Mil pessoas";"3";"Mil pessoas";"2";"Mil pessoas"
"Amapá";"4 a 5 anos";"13";"Mil pessoas";"13";"Mil pessoas";"12";"Mil pessoas";"12";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"15";"Mil pessoas";"12";"Mil pessoas";"9";"Mil pessoas";"12";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas"
"Amapá";"6 a 14 anos";"70";"Mil pessoas";"73";"Mil pessoas";"67";"Mil pessoas";"65";"Mil pessoas";"73";"Mil pessoas";"69";"Mil pessoas";"64";"Mil pessoas";"69";"Mil pessoas";"76";"Mil pessoas";"58";"Mil pessoas";"65";"Mil pessoas";"61";"Mil pessoas";"65";"Mil pessoas";"68";"Mil pessoas"
"Amapá";"15 a 17 anos";"20";"Mil pessoas";"22";"Mil pessoas";"26";"Mil pessoas";"20";"Mil pessoas";"20";"Mil pessoas";"20";"Mil pessoas";"20";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"19";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas";"21";"Mil pessoas";"17";"Mil pessoas"
"Amapá";"18 a 24 anos";"20";"Mil pessoas";"17";"Mil pessoas";"22";"Mil pessoas";"23";"Mil pessoas";"27";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas";"26";"Mil pessoas";"19";"Mil pessoas";"21";"Mil pessoas";"21";"Mil pessoas";"20";"Mil pessoas";"19";"Mil pessoas";"22";"Mil pessoas"
"Amapá";"25 anos ou mais";"9";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"20";"Mil pessoas";"9";"Mil pessoas";"19";"Mil pessoas";"10";"Mil pessoas";"14";"Mil pessoas";"12";"Mil pessoas";"16";"Mil pessoas";"10";"Mil pessoas";"15";"Mil pessoas";"8";"Mil pessoas";"17";"Mil pessoas"
"Tocantins";"0 a 5 anos";"36";"Mil pessoas";"35";"Mil pessoas";"33";"Mil pessoas";"38";"Mil pessoas";"42";"Mil pessoas";"36";"Mil pessoas";"44";"Mil pessoas";"33";"Mil pessoas";"33";"Mil pessoas";"42";"Mil pessoas";"40";"Mil pessoas";"44";"Mil pessoas";"42";"Mil pessoas";"43";"Mil pessoas"
"Tocantins";"0 a 3 anos";"13";"Mil pessoas";"9";"Mil pessoas";"11";"Mil pessoas";"14";"Mil pessoas";"16";"Mil pessoas";"12";"Mil pessoas";"16";"Mil pessoas";"12";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"20";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas"
"Tocantins";"4 a 5 anos";"23";"Mil pessoas";"27";"Mil pessoas";"21";"Mil pessoas";"24";"Mil pessoas";"26";"Mil pessoas";"24";"Mil pessoas";"28";"Mil pessoas";"21";"Mil pessoas";"18";"Mil pessoas";"26";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas";"26";"Mil pessoas";"26";"Mil pessoas"
"Tocantins";"6 a 14 anos";"124";"Mil pessoas";"121";"Mil pessoas";"123";"Mil pessoas";"124";"Mil pessoas";"117";"Mil pessoas";"107";"Mil pessoas";"115";"Mil pessoas";"113";"Mil pessoas";"109";"Mil pessoas";"105";"Mil pessoas";"111";"Mil pessoas";"114";"Mil pessoas";"110";"Mil pessoas";"107";"Mil pessoas"
"Tocantins";"15 a 17 anos";"39";"Mil pessoas";"41";"Mil pessoas";"38";"Mil pessoas";"38";"Mil pessoas";"37";"Mil pessoas";"37";"Mil pessoas";"39";"Mil pessoas";"35";"Mil pessoas";"40";"Mil pessoas";"35";"Mil pessoas";"36";"Mil pessoas";"39";"Mil pessoas";"36";"Mil pessoas";"37";"Mil pessoas"
"Tocantins";"18 a 24 anos";"27";"Mil pessoas";"31";"Mil pessoas";"32";"Mil pessoas";"27";"Mil pessoas";"33";"Mil pessoas";"28";"Mil pessoas";"27";"Mil pessoas";"26";"Mil pessoas";"34";"Mil pessoas";"39";"Mil pessoas";"27";"Mil pessoas";"28";"Mil pessoas";"34";"Mil pessoas";"31";"Mil pessoas"
