"Tabela 7133 - Pessoas de 25 anos ou mais de idade, por sexo e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Sexo"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Piauí";"12 anos ou mais";"263";"Mil pessoas";"370";"Mil pessoas";"263";"Mil pessoas";"404";"Mil pessoas";"272";"Mil pessoas";"396";"Mil pessoas";"289";"Mil pessoas";"414";"Mil pessoas";"350";"Mil pessoas";"469";"Mil pessoas";"373";"Mil pessoas";"509";"Mil pessoas";"387";"Mil pessoas";"522";"Mil pessoas"
"Ceará";"Sem instrução ou menos de 5 anos";"878";"Mil pessoas";"775";"Mil pessoas";"814";"Mil pessoas";"718";"Mil pessoas";"740";"Mil pessoas";"686";"Mil pessoas";"794";"Mil pessoas";"695";"Mil pessoas";"766";"Mil pessoas";"682";"Mil pessoas";"759";"Mil pessoas";"653";"Mil pessoas";"726";"Mil pessoas";"685";"Mil pessoas"
"Ceará";"5 a 8 anos";"447";"Mil pessoas";"531";"Mil pessoas";"517";"Mil pessoas";"573";"Mil pessoas";"531";"Mil pessoas";"571";"Mil pessoas";"500";"Mil pessoas";"550";"Mil pessoas";"500";"Mil pessoas";"574";"Mil pessoas";"494";"Mil pessoas";"566";"Mil pessoas";"478";"Mil pessoas";"569";"Mil pessoas"
"Ceará";"9 a 11 anos";"318";"Mil pessoas";"396";"Mil pessoas";"321";"Mil pessoas";"381";"Mil pessoas";"338";"Mil pessoas";"390";"Mil pessoas";"327";"Mil pessoas";"388";"Mil pessoas";"371";"Mil pessoas";"408";"Mil pessoas";"349";"Mil pessoas";"411";"Mil pessoas";"355";"Mil pessoas";"423";"Mil pessoas"
"Ceará";"12 anos ou mais";"802";"Mil pessoas";"1059";"Mil pessoas";"901";"Mil pessoas";"1150";"Mil pessoas";"967";"Mil pessoas";"1249";"Mil pessoas";"1004";"Mil pessoas";"1300";"Mil pessoas";"1187";"Mil pessoas";"1462";"Mil pessoas";"1209";"Mil pessoas";"1535";"Mil pessoas";"1273";"Mil pessoas";"1565";"Mil pessoas"
"Rio Grande do Norte";"Sem instrução ou menos de 5 anos";"302";"Mil pessoas";"251";"Mil pessoas";"283";"Mil pessoas";"257";"Mil pessoas";"271";"Mil pessoas";"238";"Mil pessoas";"290";"Mil pessoas";"244";"Mil pessoas";"259";"Mil pessoas";"222";"Mil pessoas";"269";"Mil pessoas";"215";"Mil pessoas";"262";"Mil pessoas";"206";"Mil pessoas"
"Rio Grande do Norte";"5 a 8 anos";"210";"Mil pessoas";"235";"Mil pessoas";"230";"Mil pessoas";"247";"Mil pessoas";"242";"Mil pessoas";"250";"Mil pessoas";"221";"Mil pessoas";"247";"Mil pessoas";"238";"Mil pessoas";"238";"Mil pessoas";"227";"Mil pessoas";"241";"Mil pessoas";"195";"Mil pessoas";"233";"Mil pessoas"
"Rio Grande do Norte";"9 a 11 anos";"117";"Mil pessoas";"124";"Mil pessoas";"112";"Mil pessoas";"127";"Mil pessoas";"104";"Mil pessoas";"114";"Mil pessoas";"120";"Mil pessoas";"130";"Mil pessoas";"148";"Mil pessoas";"152";"Mil pessoas";"131";"Mil pessoas";"144";"Mil pessoas";"119";"Mil pessoas";"141";"Mil pessoas"
"Rio Grande do Norte";"12 anos ou mais";"360";"Mil pessoas";"483";"Mil pessoas";"372";"Mil pessoas";"484";"Mil pessoas";"395";"Mil pessoas";"506";"Mil pessoas";"415";"Mil pessoas";"531";"Mil pessoas";"458";"Mil pessoas";"600";"Mil pessoas";"506";"Mil pessoas";"616";"Mil pessoas";"531";"Mil pessoas";"669";"Mil pessoas"
"Paraíba";"Sem instrução ou menos de 5 anos";"376";"Mil pessoas";"343";"Mil pessoas";"382";"Mil pessoas";"340";"Mil pessoas";"395";"Mil pessoas";"328";"Mil pessoas";"380";"Mil pessoas";"330";"Mil pessoas";"386";"Mil pessoas";"318";"Mil pessoas";"372";"Mil pessoas";"296";"Mil pessoas";"369";"Mil pessoas";"309";"Mil pessoas"
