"Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo"
"Variável - Domicílios"
"Unidade da Federação";"Destino do lixo";"Ano x Situação do domicílio"
"Unidade da Federação";"Destino do lixo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Destino do lixo";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Maranhão";"Coletado diretamente por serviço de limpeza";"787";"Mil unidades";"107";"Mil unidades";"871";"Mil unidades";"109";"Mil unidades";"890";"Mil unidades";"109";"Mil unidades";"1017";"Mil unidades";"124";"Mil unidades";"1220";"Mil unidades";"81";"Mil unidades";"1299";"Mil unidades";"85";"Mil unidades";"1354";"Mil unidades";"82";"Mil unidades"
"Maranhão";"Coletado em caçamba de serviço de limpeza";"333";"Mil unidades";"28";"Mil unidades";"309";"Mil unidades";"38";"Mil unidades";"302";"Mil unidades";"38";"Mil unidades";"238";"Mil unidades";"38";"Mil unidades";"237";"Mil unidades";"34";"Mil unidades";"250";"Mil unidades";"32";"Mil unidades";"211";"Mil unidades";"40";"Mil unidades"
"Maranhão";"Queimado (na propriedade)";"140";"Mil unidades";"432";"Mil unidades";"99";"Mil unidades";"414";"Mil unidades";"85";"Mil unidades";"431";"Mil unidades";"75";"Mil unidades";"427";"Mil unidades";"55";"Mil unidades";"397";"Mil unidades";"71";"Mil unidades";"444";"Mil unidades";"63";"Mil unidades";"436";"Mil unidades"
"Maranhão";"Outro destino";"29";"Mil unidades";"70";"Mil unidades";"35";"Mil unidades";"72";"Mil unidades";"28";"Mil unidades";"73";"Mil unidades";"25";"Mil unidades";"63";"Mil unidades";"19";"Mil unidades";"37";"Mil unidades";"12";"Mil unidades";"34";"Mil unidades";"14";"Mil unidades";"34";"Mil unidades"
"Piauí";"Total";"655";"Mil unidades";"341";"Mil unidades";"671";"Mil unidades";"340";"Mil unidades";"659";"Mil unidades";"340";"Mil unidades";"667";"Mil unidades";"353";"Mil unidades";"718";"Mil unidades";"330";"Mil unidades";"788";"Mil unidades";"355";"Mil unidades";"819";"Mil unidades";"326";"Mil unidades"
"Piauí";"Coletado diretamente por serviço de limpeza";"586";"Mil unidades";"60";"Mil unidades";"609";"Mil unidades";"47";"Mil unidades";"612";"Mil unidades";"64";"Mil unidades";"628";"Mil unidades";"61";"Mil unidades";"676";"Mil unidades";"55";"Mil unidades";"757";"Mil unidades";"92";"Mil unidades";"780";"Mil unidades";"94";"Mil unidades"
"Piauí";"Coletado em caçamba de serviço de limpeza";"46";"Mil unidades";"5";"Mil unidades";"42";"Mil unidades";"6";"Mil unidades";"36";"Mil unidades";"5";"Mil unidades";"27";"Mil unidades";"6";"Mil unidades";"32";"Mil unidades";"7";"Mil unidades";"11";"Mil unidades";"3";"Mil unidades";"17";"Mil unidades";"4";"Mil unidades"
"Piauí";"Queimado (na propriedade)";"19";"Mil unidades";"242";"Mil unidades";"13";"Mil unidades";"259";"Mil unidades";"9";"Mil unidades";"256";"Mil unidades";"8";"Mil unidades";"264";"Mil unidades";"8";"Mil unidades";"250";"Mil unidades";"7";"Mil unidades";"245";"Mil unidades";"19";"Mil unidades";"217";"Mil unidades"
"Piauí";"Outro destino";"5";"Mil unidades";"34";"Mil unidades";"7";"Mil unidades";"27";"Mil unidades";"1";"Mil unidades";"15";"Mil unidades";"4";"Mil unidades";"21";"Mil unidades";"2";"Mil unidades";"17";"Mil unidades";"13";"Mil unidades";"14";"Mil unidades";"3";"Mil unidades";"12";"Mil unidades"
"Ceará";"Total";"2131";"Mil unidades";"624";"Mil unidades";"2151";"Mil unidades";"638";"Mil unidades";"2219";"Mil unidades";"666";"Mil unidades";"2199";"Mil unidades";"670";"Mil unidades";"2405";"Mil unidades";"629";"Mil unidades";"2543";"Mil unidades";"687";"Mil unidades";"2571";"Mil unidades";"695";"Mil unidades"
"Ceará";"Coletado diretamente por serviço de limpeza";"1794";"Mil unidades";"118";"Mil unidades";"1838";"Mil unidades";"138";"Mil unidades";"1934";"Mil unidades";"139";"Mil unidades";"1974";"Mil unidades";"165";"Mil unidades";"2085";"Mil unidades";"191";"Mil unidades";"2309";"Mil unidades";"247";"Mil unidades";"2414";"Mil unidades";"241";"Mil unidades"
"Ceará";"Coletado em caçamba de serviço de limpeza";"270";"Mil unidades";"49";"Mil unidades";"253";"Mil unidades";"62";"Mil unidades";"246";"Mil unidades";"63";"Mil unidades";"187";"Mil unidades";"68";"Mil unidades";"277";"Mil unidades";"59";"Mil unidades";"194";"Mil unidades";"67";"Mil unidades";"136";"Mil unidades";"66";"Mil unidades"
"Ceará";"Queimado (na propriedade)";"50";"Mil unidades";"418";"Mil unidades";"33";"Mil unidades";"401";"Mil unidades";"27";"Mil unidades";"423";"Mil unidades";"34";"Mil unidades";"392";"Mil unidades";"33";"Mil unidades";"350";"Mil unidades";"35";"Mil unidades";"347";"Mil unidades";"14";"Mil unidades";"360";"Mil unidades"
"Ceará";"Outro destino";"18";"Mil unidades";"39";"Mil unidades";"27";"Mil unidades";"37";"Mil unidades";"11";"Mil unidades";"41";"Mil unidades";"4";"Mil unidades";"46";"Mil unidades";"10";"Mil unidades";"29";"Mil unidades";"5";"Mil unidades";"26";"Mil unidades";"6";"Mil unidades";"28";"Mil unidades"
"Rio Grande do Norte";"Total";"808";"Mil unidades";"226";"Mil unidades";"816";"Mil unidades";"222";"Mil unidades";"823";"Mil unidades";"223";"Mil unidades";"852";"Mil unidades";"231";"Mil unidades";"936";"Mil unidades";"205";"Mil unidades";"978";"Mil unidades";"212";"Mil unidades";"1033";"Mil unidades";"206";"Mil unidades"
"Rio Grande do Norte";"Coletado diretamente por serviço de limpeza";"746";"Mil unidades";"107";"Mil unidades";"770";"Mil unidades";"98";"Mil unidades";"742";"Mil unidades";"93";"Mil unidades";"807";"Mil unidades";"112";"Mil unidades";"913";"Mil unidades";"84";"Mil unidades";"880";"Mil unidades";"93";"Mil unidades";"951";"Mil unidades";"92";"Mil unidades"
"Rio Grande do Norte";"Coletado em caçamba de serviço de limpeza";"56";"Mil unidades";"8";"Mil unidades";"38";"Mil unidades";"13";"Mil unidades";"74";"Mil unidades";"15";"Mil unidades";"38";"Mil unidades";"9";"Mil unidades";"21";"Mil unidades";"11";"Mil unidades";"93";"Mil unidades";"21";"Mil unidades";"79";"Mil unidades";"23";"Mil unidades"
"Rio Grande do Norte";"Queimado (na propriedade)";"4";"Mil unidades";"104";"Mil unidades";"3";"Mil unidades";"101";"Mil unidades";"5";"Mil unidades";"107";"Mil unidades";"3";"Mil unidades";"104";"Mil unidades";"1";"Mil unidades";"101";"Mil unidades";"4";"Mil unidades";"92";"Mil unidades";"3";"Mil unidades";"85";"Mil unidades"
"Rio Grande do Norte";"Outro destino";"2";"Mil unidades";"7";"Mil unidades";"5";"Mil unidades";"10";"Mil unidades";"3";"Mil unidades";"10";"Mil unidades";"3";"Mil unidades";"6";"Mil unidades";"0";"Mil unidades";"9";"Mil unidades";"1";"Mil unidades";"6";"Mil unidades";"1";"Mil unidades";"6";"Mil unidades"
"Paraíba";"Total";"958";"Mil unidades";"263";"Mil unidades";"973";"Mil unidades";"267";"Mil unidades";"982";"Mil unidades";"279";"Mil unidades";"1004";"Mil unidades";"282";"Mil unidades";"1045";"Mil unidades";"317";"Mil unidades";"1154";"Mil unidades";"323";"Mil unidades";"1168";"Mil unidades";"303";"Mil unidades"
"Paraíba";"Coletado diretamente por serviço de limpeza";"886";"Mil unidades";"46";"Mil unidades";"911";"Mil unidades";"56";"Mil unidades";"880";"Mil unidades";"67";"Mil unidades";"910";"Mil unidades";"69";"Mil unidades";"977";"Mil unidades";"72";"Mil unidades";"1073";"Mil unidades";"77";"Mil unidades";"1109";"Mil unidades";"63";"Mil unidades"
"Paraíba";"Coletado em caçamba de serviço de limpeza";"51";"Mil unidades";"17";"Mil unidades";"47";"Mil unidades";"15";"Mil unidades";"88";"Mil unidades";"13";"Mil unidades";"81";"Mil unidades";"9";"Mil unidades";"59";"Mil unidades";"14";"Mil unidades";"72";"Mil unidades";"15";"Mil unidades";"44";"Mil unidades";"11";"Mil unidades"
"Paraíba";"Queimado (na propriedade)";"9";"Mil unidades";"186";"Mil unidades";"12";"Mil unidades";"185";"Mil unidades";"8";"Mil unidades";"183";"Mil unidades";"8";"Mil unidades";"188";"Mil unidades";"4";"Mil unidades";"223";"Mil unidades";"4";"Mil unidades";"224";"Mil unidades";"5";"Mil unidades";"223";"Mil unidades"
"Paraíba";"Outro destino";"13";"Mil unidades";"14";"Mil unidades";"2";"Mil unidades";"12";"Mil unidades";"5";"Mil unidades";"15";"Mil unidades";"6";"Mil unidades";"15";"Mil unidades";"5";"Mil unidades";"8";"Mil unidades";"4";"Mil unidades";"7";"Mil unidades";"10";"Mil unidades";"7";"Mil unidades"
"Pernambuco";"Total";"2466";"Mil unidades";"530";"Mil unidades";"2472";"Mil unidades";"520";"Mil unidades";"2517";"Mil unidades";"536";"Mil unidades";"2620";"Mil unidades";"520";"Mil unidades";"2708";"Mil unidades";"504";"Mil unidades";"2913";"Mil unidades";"509";"Mil unidades";"3023";"Mil unidades";"505";"Mil unidades"
"Pernambuco";"Coletado diretamente por serviço de limpeza";"2201";"Mil unidades";"92";"Mil unidades";"2181";"Mil unidades";"120";"Mil unidades";"2170";"Mil unidades";"115";"Mil unidades";"2171";"Mil unidades";"100";"Mil unidades";"2495";"Mil unidades";"116";"Mil unidades";"2645";"Mil unidades";"110";"Mil unidades";"2809";"Mil unidades";"112";"Mil unidades"
"Pernambuco";"Coletado em caçamba de serviço de limpeza";"193";"Mil unidades";"37";"Mil unidades";"227";"Mil unidades";"44";"Mil unidades";"279";"Mil unidades";"45";"Mil unidades";"358";"Mil unidades";"45";"Mil unidades";"183";"Mil unidades";"24";"Mil unidades";"194";"Mil unidades";"25";"Mil unidades";"141";"Mil unidades";"27";"Mil unidades"
"Pernambuco";"Queimado (na propriedade)";"32";"Mil unidades";"366";"Mil unidades";"21";"Mil unidades";"325";"Mil unidades";"18";"Mil unidades";"338";"Mil unidades";"22";"Mil unidades";"343";"Mil unidades";"12";"Mil unidades";"349";"Mil unidades";"15";"Mil unidades";"359";"Mil unidades";"18";"Mil unidades";"338";"Mil unidades"
