"Tabela 7134 - Pessoas de 25 anos ou mais de idade, por cor ou raça e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Cor ou raça"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rio Grande do Norte";"Sem instrução ou menos de 5 anos";"157";"Mil pessoas";"395";"Mil pessoas";"149";"Mil pessoas";"391";"Mil pessoas";"154";"Mil pessoas";"353";"Mil pessoas";"155";"Mil pessoas";"376";"Mil pessoas";"143";"Mil pessoas";"336";"Mil pessoas";"138";"Mil pessoas";"345";"Mil pessoas";"152";"Mil pessoas";"315";"Mil pessoas"
"Rio Grande do Norte";"5 a 8 anos";"137";"Mil pessoas";"307";"Mil pessoas";"156";"Mil pessoas";"320";"Mil pessoas";"150";"Mil pessoas";"341";"Mil pessoas";"142";"Mil pessoas";"325";"Mil pessoas";"139";"Mil pessoas";"335";"Mil pessoas";"147";"Mil pessoas";"319";"Mil pessoas";"145";"Mil pessoas";"283";"Mil pessoas"
"Rio Grande do Norte";"9 a 11 anos";"86";"Mil pessoas";"154";"Mil pessoas";"73";"Mil pessoas";"165";"Mil pessoas";"72";"Mil pessoas";"146";"Mil pessoas";"87";"Mil pessoas";"163";"Mil pessoas";"89";"Mil pessoas";"211";"Mil pessoas";"85";"Mil pessoas";"190";"Mil pessoas";"75";"Mil pessoas";"185";"Mil pessoas"
"Rio Grande do Norte";"12 anos ou mais";"364";"Mil pessoas";"477";"Mil pessoas";"369";"Mil pessoas";"485";"Mil pessoas";"382";"Mil pessoas";"513";"Mil pessoas";"406";"Mil pessoas";"537";"Mil pessoas";"470";"Mil pessoas";"584";"Mil pessoas";"487";"Mil pessoas";"634";"Mil pessoas";"501";"Mil pessoas";"695";"Mil pessoas"
"Paraíba";"Sem instrução ou menos de 5 anos";"198";"Mil pessoas";"519";"Mil pessoas";"184";"Mil pessoas";"535";"Mil pessoas";"192";"Mil pessoas";"526";"Mil pessoas";"186";"Mil pessoas";"521";"Mil pessoas";"178";"Mil pessoas";"521";"Mil pessoas";"180";"Mil pessoas";"483";"Mil pessoas";"174";"Mil pessoas";"499";"Mil pessoas"
"Paraíba";"5 a 8 anos";"168";"Mil pessoas";"371";"Mil pessoas";"143";"Mil pessoas";"371";"Mil pessoas";"161";"Mil pessoas";"377";"Mil pessoas";"160";"Mil pessoas";"385";"Mil pessoas";"165";"Mil pessoas";"376";"Mil pessoas";"145";"Mil pessoas";"387";"Mil pessoas";"144";"Mil pessoas";"349";"Mil pessoas"
"Paraíba";"9 a 11 anos";"70";"Mil pessoas";"170";"Mil pessoas";"71";"Mil pessoas";"182";"Mil pessoas";"73";"Mil pessoas";"148";"Mil pessoas";"70";"Mil pessoas";"160";"Mil pessoas";"70";"Mil pessoas";"198";"Mil pessoas";"84";"Mil pessoas";"191";"Mil pessoas";"92";"Mil pessoas";"191";"Mil pessoas"
"Paraíba";"12 anos ou mais";"340";"Mil pessoas";"478";"Mil pessoas";"346";"Mil pessoas";"530";"Mil pessoas";"351";"Mil pessoas";"562";"Mil pessoas";"339";"Mil pessoas";"585";"Mil pessoas";"387";"Mil pessoas";"616";"Mil pessoas";"418";"Mil pessoas";"643";"Mil pessoas";"451";"Mil pessoas";"678";"Mil pessoas"
"Pernambuco";"Sem instrução ou menos de 5 anos";"381";"Mil pessoas";"1108";"Mil pessoas";"327";"Mil pessoas";"1079";"Mil pessoas";"331";"Mil pessoas";"962";"Mil pessoas";"314";"Mil pessoas";"969";"Mil pessoas";"368";"Mil pessoas";"953";"Mil pessoas";"364";"Mil pessoas";"889";"Mil pessoas";"349";"Mil pessoas";"885";"Mil pessoas"
"Pernambuco";"5 a 8 anos";"300";"Mil pessoas";"912";"Mil pessoas";"309";"Mil pessoas";"978";"Mil pessoas";"329";"Mil pessoas";"931";"Mil pessoas";"340";"Mil pessoas";"896";"Mil pessoas";"347";"Mil pessoas";"863";"Mil pessoas";"368";"Mil pessoas";"862";"Mil pessoas";"350";"Mil pessoas";"902";"Mil pessoas"
"Pernambuco";"9 a 11 anos";"167";"Mil pessoas";"422";"Mil pessoas";"153";"Mil pessoas";"444";"Mil pessoas";"165";"Mil pessoas";"433";"Mil pessoas";"164";"Mil pessoas";"431";"Mil pessoas";"174";"Mil pessoas";"482";"Mil pessoas";"190";"Mil pessoas";"453";"Mil pessoas";"180";"Mil pessoas";"453";"Mil pessoas"
"Pernambuco";"12 anos ou mais";"855";"Mil pessoas";"1438";"Mil pessoas";"867";"Mil pessoas";"1471";"Mil pessoas";"972";"Mil pessoas";"1588";"Mil pessoas";"1018";"Mil pessoas";"1616";"Mil pessoas";"1066";"Mil pessoas";"1741";"Mil pessoas";"1173";"Mil pessoas";"1833";"Mil pessoas";"1130";"Mil pessoas";"1941";"Mil pessoas"
"Alagoas";"Sem instrução ou menos de 5 anos";"118";"Mil pessoas";"536";"Mil pessoas";"121";"Mil pessoas";"510";"Mil pessoas";"104";"Mil pessoas";"492";"Mil pessoas";"117";"Mil pessoas";"485";"Mil pessoas";"114";"Mil pessoas";"420";"Mil pessoas";"107";"Mil pessoas";"413";"Mil pessoas";"111";"Mil pessoas";"434";"Mil pessoas"
"Alagoas";"5 a 8 anos";"79";"Mil pessoas";"316";"Mil pessoas";"88";"Mil pessoas";"354";"Mil pessoas";"85";"Mil pessoas";"362";"Mil pessoas";"82";"Mil pessoas";"336";"Mil pessoas";"98";"Mil pessoas";"318";"Mil pessoas";"87";"Mil pessoas";"300";"Mil pessoas";"83";"Mil pessoas";"277";"Mil pessoas"
"Alagoas";"9 a 11 anos";"43";"Mil pessoas";"151";"Mil pessoas";"44";"Mil pessoas";"151";"Mil pessoas";"39";"Mil pessoas";"156";"Mil pessoas";"47";"Mil pessoas";"167";"Mil pessoas";"54";"Mil pessoas";"172";"Mil pessoas";"52";"Mil pessoas";"179";"Mil pessoas";"48";"Mil pessoas";"165";"Mil pessoas"
"Alagoas";"12 anos ou mais";"181";"Mil pessoas";"406";"Mil pessoas";"177";"Mil pessoas";"452";"Mil pessoas";"217";"Mil pessoas";"460";"Mil pessoas";"229";"Mil pessoas";"474";"Mil pessoas";"252";"Mil pessoas";"552";"Mil pessoas";"262";"Mil pessoas";"588";"Mil pessoas";"286";"Mil pessoas";"617";"Mil pessoas"
"Sergipe";"Sem instrução ou menos de 5 anos";"75";"Mil pessoas";"310";"Mil pessoas";"68";"Mil pessoas";"301";"Mil pessoas";"74";"Mil pessoas";"297";"Mil pessoas";"66";"Mil pessoas";"290";"Mil pessoas";"68";"Mil pessoas";"265";"Mil pessoas";"76";"Mil pessoas";"248";"Mil pessoas";"71";"Mil pessoas";"281";"Mil pessoas"
"Sergipe";"5 a 8 anos";"56";"Mil pessoas";"223";"Mil pessoas";"52";"Mil pessoas";"246";"Mil pessoas";"53";"Mil pessoas";"231";"Mil pessoas";"68";"Mil pessoas";"238";"Mil pessoas";"62";"Mil pessoas";"254";"Mil pessoas";"63";"Mil pessoas";"215";"Mil pessoas";"50";"Mil pessoas";"215";"Mil pessoas"
"Sergipe";"9 a 11 anos";"29";"Mil pessoas";"104";"Mil pessoas";"25";"Mil pessoas";"130";"Mil pessoas";"25";"Mil pessoas";"120";"Mil pessoas";"24";"Mil pessoas";"115";"Mil pessoas";"34";"Mil pessoas";"124";"Mil pessoas";"34";"Mil pessoas";"128";"Mil pessoas";"38";"Mil pessoas";"127";"Mil pessoas"
"Sergipe";"12 anos ou mais";"126";"Mil pessoas";"375";"Mil pessoas";"125";"Mil pessoas";"382";"Mil pessoas";"130";"Mil pessoas";"380";"Mil pessoas";"148";"Mil pessoas";"412";"Mil pessoas";"182";"Mil pessoas";"444";"Mil pessoas";"161";"Mil pessoas";"499";"Mil pessoas";"184";"Mil pessoas";"512";"Mil pessoas"
"Bahia";"Sem instrução ou menos de 5 anos";"432";"Mil pessoas";"2098";"Mil pessoas";"406";"Mil pessoas";"2041";"Mil pessoas";"383";"Mil pessoas";"2059";"Mil pessoas";"371";"Mil pessoas";"2009";"Mil pessoas";"430";"Mil pessoas";"1765";"Mil pessoas";"431";"Mil pessoas";"1805";"Mil pessoas";"373";"Mil pessoas";"1732";"Mil pessoas"
"Bahia";"5 a 8 anos";"325";"Mil pessoas";"1475";"Mil pessoas";"318";"Mil pessoas";"1607";"Mil pessoas";"301";"Mil pessoas";"1622";"Mil pessoas";"306";"Mil pessoas";"1600";"Mil pessoas";"299";"Mil pessoas";"1547";"Mil pessoas";"309";"Mil pessoas";"1548";"Mil pessoas";"310";"Mil pessoas";"1430";"Mil pessoas"
