"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Tocantins";"Ensino fundamental incompleto ou equivalente";"191";"Mil pessoas";"153";"Mil pessoas";"205";"Mil pessoas";"147";"Mil pessoas";"195";"Mil pessoas";"155";"Mil pessoas";"215";"Mil pessoas";"155";"Mil pessoas";"183";"Mil pessoas";"140";"Mil pessoas";"183";"Mil pessoas";"140";"Mil pessoas";"191";"Mil pessoas";"147";"Mil pessoas"
"Tocantins";"Ensino fundamental completo ou equivalente";"59";"Mil pessoas";"46";"Mil pessoas";"46";"Mil pessoas";"42";"Mil pessoas";"58";"Mil pessoas";"37";"Mil pessoas";"53";"Mil pessoas";"40";"Mil pessoas";"45";"Mil pessoas";"46";"Mil pessoas";"48";"Mil pessoas";"47";"Mil pessoas";"55";"Mil pessoas";"43";"Mil pessoas"
"Tocantins";"Ensino médio incompleto ou equivalente";"51";"Mil pessoas";"54";"Mil pessoas";"52";"Mil pessoas";"51";"Mil pessoas";"51";"Mil pessoas";"50";"Mil pessoas";"57";"Mil pessoas";"54";"Mil pessoas";"62";"Mil pessoas";"54";"Mil pessoas";"61";"Mil pessoas";"51";"Mil pessoas";"66";"Mil pessoas";"52";"Mil pessoas"
"Tocantins";"Ensino médio completo ou equivalente";"146";"Mil pessoas";"164";"Mil pessoas";"154";"Mil pessoas";"164";"Mil pessoas";"162";"Mil pessoas";"172";"Mil pessoas";"159";"Mil pessoas";"175";"Mil pessoas";"193";"Mil pessoas";"186";"Mil pessoas";"182";"Mil pessoas";"192";"Mil pessoas";"187";"Mil pessoas";"195";"Mil pessoas"
"Tocantins";"Ensino superior incompleto ou equivalente";"21";"Mil pessoas";"34";"Mil pessoas";"26";"Mil pessoas";"33";"Mil pessoas";"29";"Mil pessoas";"30";"Mil pessoas";"21";"Mil pessoas";"31";"Mil pessoas";"38";"Mil pessoas";"39";"Mil pessoas";"31";"Mil pessoas";"37";"Mil pessoas";"35";"Mil pessoas";"47";"Mil pessoas"
"Tocantins";"Superior completo";"36";"Mil pessoas";"69";"Mil pessoas";"43";"Mil pessoas";"84";"Mil pessoas";"49";"Mil pessoas";"96";"Mil pessoas";"54";"Mil pessoas";"93";"Mil pessoas";"71";"Mil pessoas";"125";"Mil pessoas";"75";"Mil pessoas";"123";"Mil pessoas";"79";"Mil pessoas";"126";"Mil pessoas"
"Maranhão";"Sem instrução";"329";"Mil pessoas";"320";"Mil pessoas";"332";"Mil pessoas";"313";"Mil pessoas";"326";"Mil pessoas";"289";"Mil pessoas";"311";"Mil pessoas";"306";"Mil pessoas";"280";"Mil pessoas";"260";"Mil pessoas";"283";"Mil pessoas";"256";"Mil pessoas";"275";"Mil pessoas";"250";"Mil pessoas"
"Maranhão";"Ensino fundamental incompleto ou equivalente";"957";"Mil pessoas";"810";"Mil pessoas";"942";"Mil pessoas";"800";"Mil pessoas";"931";"Mil pessoas";"806";"Mil pessoas";"905";"Mil pessoas";"770";"Mil pessoas";"842";"Mil pessoas";"748";"Mil pessoas";"856";"Mil pessoas";"738";"Mil pessoas";"838";"Mil pessoas";"738";"Mil pessoas"
"Maranhão";"Ensino fundamental completo ou equivalente";"258";"Mil pessoas";"269";"Mil pessoas";"243";"Mil pessoas";"247";"Mil pessoas";"240";"Mil pessoas";"240";"Mil pessoas";"248";"Mil pessoas";"241";"Mil pessoas";"258";"Mil pessoas";"253";"Mil pessoas";"252";"Mil pessoas";"254";"Mil pessoas";"255";"Mil pessoas";"271";"Mil pessoas"
"Maranhão";"Ensino médio incompleto ou equivalente";"227";"Mil pessoas";"251";"Mil pessoas";"244";"Mil pessoas";"236";"Mil pessoas";"254";"Mil pessoas";"264";"Mil pessoas";"271";"Mil pessoas";"257";"Mil pessoas";"261";"Mil pessoas";"252";"Mil pessoas";"244";"Mil pessoas";"264";"Mil pessoas";"239";"Mil pessoas";"271";"Mil pessoas"
