"Tabela 6731 - Domicílios e Moradores, por situação do domicílio e principal fonte de abastecimento de água"
"Variável - Domicílios"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Principal fonte de abastecimento de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Tocantins";"Total";"381";"Mil unidades";"79";"Mil unidades";"387";"Mil unidades";"87";"Mil unidades";"401";"Mil unidades";"90";"Mil unidades";"409";"Mil unidades";"87";"Mil unidades";"439";"Mil unidades";"73";"Mil unidades";"454";"Mil unidades";"78";"Mil unidades";"474";"Mil unidades";"70";"Mil unidades"
"Tocantins";"Rede geral de distribuição";"373";"Mil unidades";"18";"Mil unidades";"377";"Mil unidades";"15";"Mil unidades";"387";"Mil unidades";"14";"Mil unidades";"395";"Mil unidades";"14";"Mil unidades";"420";"Mil unidades";"13";"Mil unidades";"432";"Mil unidades";"16";"Mil unidades";"449";"Mil unidades";"16";"Mil unidades"
"Tocantins";"Poço profundo ou artesiano";"2";"Mil unidades";"23";"Mil unidades";"5";"Mil unidades";"24";"Mil unidades";"6";"Mil unidades";"30";"Mil unidades";"6";"Mil unidades";"26";"Mil unidades";"11";"Mil unidades";"31";"Mil unidades";"10";"Mil unidades";"31";"Mil unidades";"13";"Mil unidades";"29";"Mil unidades"
"Tocantins";"Poço raso, freático ou cacimba";"5";"Mil unidades";"16";"Mil unidades";"5";"Mil unidades";"29";"Mil unidades";"8";"Mil unidades";"21";"Mil unidades";"6";"Mil unidades";"27";"Mil unidades";"6";"Mil unidades";"17";"Mil unidades";"12";"Mil unidades";"16";"Mil unidades";"9";"Mil unidades";"17";"Mil unidades"
"Tocantins";"Fonte ou nascente";"0";"Mil unidades";"20";"Mil unidades";"-";"Mil unidades";"17";"Mil unidades";"-";"Mil unidades";"21";"Mil unidades";"1";"Mil unidades";"19";"Mil unidades";"0";"Mil unidades";"12";"Mil unidades";"-";"Mil unidades";"14";"Mil unidades";"1";"Mil unidades";"7";"Mil unidades"
"Tocantins";"Outra";"-";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades"
"Maranhão";"Total";"1290";"Mil unidades";"637";"Mil unidades";"1313";"Mil unidades";"633";"Mil unidades";"1305";"Mil unidades";"650";"Mil unidades";"1355";"Mil unidades";"653";"Mil unidades";"1531";"Mil unidades";"549";"Mil unidades";"1632";"Mil unidades";"594";"Mil unidades";"1642";"Mil unidades";"591";"Mil unidades"
"Maranhão";"Rede geral de distribuição";"1039";"Mil unidades";"263";"Mil unidades";"1110";"Mil unidades";"285";"Mil unidades";"1086";"Mil unidades";"295";"Mil unidades";"1120";"Mil unidades";"288";"Mil unidades";"1286";"Mil unidades";"258";"Mil unidades";"1367";"Mil unidades";"276";"Mil unidades";"1359";"Mil unidades";"274";"Mil unidades"
"Maranhão";"Poço profundo ou artesiano";"187";"Mil unidades";"235";"Mil unidades";"136";"Mil unidades";"183";"Mil unidades";"149";"Mil unidades";"204";"Mil unidades";"175";"Mil unidades";"220";"Mil unidades";"189";"Mil unidades";"175";"Mil unidades";"203";"Mil unidades";"189";"Mil unidades";"207";"Mil unidades";"192";"Mil unidades"
"Maranhão";"Poço raso, freático ou cacimba";"48";"Mil unidades";"110";"Mil unidades";"59";"Mil unidades";"133";"Mil unidades";"57";"Mil unidades";"115";"Mil unidades";"46";"Mil unidades";"111";"Mil unidades";"47";"Mil unidades";"87";"Mil unidades";"53";"Mil unidades";"95";"Mil unidades";"64";"Mil unidades";"98";"Mil unidades"
