"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Amapá";"Sem instrução";"3";"Mil pessoas";"24";"Mil pessoas";"5";"Mil pessoas";"20";"Mil pessoas";"3";"Mil pessoas";"30";"Mil pessoas";"6";"Mil pessoas";"28";"Mil pessoas";"4";"Mil pessoas";"33";"Mil pessoas";"5";"Mil pessoas";"39";"Mil pessoas";"4";"Mil pessoas";"38";"Mil pessoas"
"Amapá";"Ensino fundamental incompleto ou equivalente";"21";"Mil pessoas";"122";"Mil pessoas";"22";"Mil pessoas";"136";"Mil pessoas";"24";"Mil pessoas";"133";"Mil pessoas";"17";"Mil pessoas";"131";"Mil pessoas";"21";"Mil pessoas";"127";"Mil pessoas";"16";"Mil pessoas";"121";"Mil pessoas";"22";"Mil pessoas";"127";"Mil pessoas"
"Amapá";"Ensino fundamental completo ou equivalente";"8";"Mil pessoas";"44";"Mil pessoas";"8";"Mil pessoas";"48";"Mil pessoas";"8";"Mil pessoas";"42";"Mil pessoas";"7";"Mil pessoas";"46";"Mil pessoas";"11";"Mil pessoas";"44";"Mil pessoas";"5";"Mil pessoas";"42";"Mil pessoas";"9";"Mil pessoas";"43";"Mil pessoas"
"Amapá";"Ensino médio incompleto ou equivalente";"10";"Mil pessoas";"47";"Mil pessoas";"12";"Mil pessoas";"48";"Mil pessoas";"8";"Mil pessoas";"48";"Mil pessoas";"10";"Mil pessoas";"54";"Mil pessoas";"10";"Mil pessoas";"46";"Mil pessoas";"12";"Mil pessoas";"50";"Mil pessoas";"10";"Mil pessoas";"45";"Mil pessoas"
"Amapá";"Ensino médio completo ou equivalente";"36";"Mil pessoas";"134";"Mil pessoas";"26";"Mil pessoas";"145";"Mil pessoas";"24";"Mil pessoas";"153";"Mil pessoas";"33";"Mil pessoas";"162";"Mil pessoas";"35";"Mil pessoas";"174";"Mil pessoas";"35";"Mil pessoas";"191";"Mil pessoas";"43";"Mil pessoas";"185";"Mil pessoas"
"Amapá";"Ensino superior incompleto ou equivalente";"10";"Mil pessoas";"23";"Mil pessoas";"9";"Mil pessoas";"33";"Mil pessoas";"10";"Mil pessoas";"34";"Mil pessoas";"12";"Mil pessoas";"36";"Mil pessoas";"16";"Mil pessoas";"32";"Mil pessoas";"11";"Mil pessoas";"34";"Mil pessoas";"10";"Mil pessoas";"34";"Mil pessoas"
"Amapá";"Superior completo";"20";"Mil pessoas";"50";"Mil pessoas";"18";"Mil pessoas";"57";"Mil pessoas";"22";"Mil pessoas";"57";"Mil pessoas";"21";"Mil pessoas";"63";"Mil pessoas";"31";"Mil pessoas";"77";"Mil pessoas";"29";"Mil pessoas";"95";"Mil pessoas";"33";"Mil pessoas";"92";"Mil pessoas"
"Tocantins";"Sem instrução";"20";"Mil pessoas";"93";"Mil pessoas";"20";"Mil pessoas";"92";"Mil pessoas";"20";"Mil pessoas";"91";"Mil pessoas";"15";"Mil pessoas";"77";"Mil pessoas";"13";"Mil pessoas";"75";"Mil pessoas";"14";"Mil pessoas";"80";"Mil pessoas";"12";"Mil pessoas";"62";"Mil pessoas"
"Tocantins";"Ensino fundamental incompleto ou equivalente";"65";"Mil pessoas";"278";"Mil pessoas";"63";"Mil pessoas";"287";"Mil pessoas";"59";"Mil pessoas";"288";"Mil pessoas";"59";"Mil pessoas";"309";"Mil pessoas";"60";"Mil pessoas";"258";"Mil pessoas";"49";"Mil pessoas";"269";"Mil pessoas";"60";"Mil pessoas";"275";"Mil pessoas"
"Tocantins";"Ensino fundamental completo ou equivalente";"22";"Mil pessoas";"83";"Mil pessoas";"17";"Mil pessoas";"69";"Mil pessoas";"17";"Mil pessoas";"78";"Mil pessoas";"14";"Mil pessoas";"78";"Mil pessoas";"16";"Mil pessoas";"74";"Mil pessoas";"16";"Mil pessoas";"78";"Mil pessoas";"17";"Mil pessoas";"80";"Mil pessoas"
"Tocantins";"Ensino médio incompleto ou equivalente";"24";"Mil pessoas";"80";"Mil pessoas";"20";"Mil pessoas";"83";"Mil pessoas";"19";"Mil pessoas";"80";"Mil pessoas";"17";"Mil pessoas";"94";"Mil pessoas";"22";"Mil pessoas";"92";"Mil pessoas";"25";"Mil pessoas";"87";"Mil pessoas";"22";"Mil pessoas";"95";"Mil pessoas"
"Tocantins";"Ensino médio completo ou equivalente";"70";"Mil pessoas";"238";"Mil pessoas";"65";"Mil pessoas";"250";"Mil pessoas";"68";"Mil pessoas";"260";"Mil pessoas";"65";"Mil pessoas";"265";"Mil pessoas";"73";"Mil pessoas";"296";"Mil pessoas";"67";"Mil pessoas";"300";"Mil pessoas";"77";"Mil pessoas";"299";"Mil pessoas"
