"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Amapá";"0 a 3 anos";"16";"Mil pessoas";"46";"Mil pessoas";"18";"Mil pessoas";"45";"Mil pessoas";"13";"Mil pessoas";"44";"Mil pessoas";"13";"Mil pessoas";"39";"Mil pessoas";"17";"Mil pessoas";"45";"Mil pessoas";"14";"Mil pessoas";"46";"Mil pessoas";"14";"Mil pessoas";"44";"Mil pessoas"
"Amapá";"4 a 5 anos";"7";"Mil pessoas";"29";"Mil pessoas";"8";"Mil pessoas";"26";"Mil pessoas";"6";"Mil pessoas";"24";"Mil pessoas";"6";"Mil pessoas";"30";"Mil pessoas";"9";"Mil pessoas";"24";"Mil pessoas";"6";"Mil pessoas";"27";"Mil pessoas";"8";"Mil pessoas";"24";"Mil pessoas"
"Amapá";"6 a 9 anos";"14";"Mil pessoas";"54";"Mil pessoas";"10";"Mil pessoas";"48";"Mil pessoas";"11";"Mil pessoas";"53";"Mil pessoas";"10";"Mil pessoas";"45";"Mil pessoas";"10";"Mil pessoas";"46";"Mil pessoas";"10";"Mil pessoas";"49";"Mil pessoas";"15";"Mil pessoas";"48";"Mil pessoas"
"Amapá";"10 a 14 anos";"15";"Mil pessoas";"61";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"10";"Mil pessoas";"66";"Mil pessoas";"12";"Mil pessoas";"66";"Mil pessoas";"16";"Mil pessoas";"61";"Mil pessoas";"13";"Mil pessoas";"55";"Mil pessoas";"13";"Mil pessoas";"58";"Mil pessoas"
"Amapá";"15 a 17 anos";"8";"Mil pessoas";"40";"Mil pessoas";"12";"Mil pessoas";"41";"Mil pessoas";"7";"Mil pessoas";"39";"Mil pessoas";"7";"Mil pessoas";"43";"Mil pessoas";"9";"Mil pessoas";"32";"Mil pessoas";"7";"Mil pessoas";"40";"Mil pessoas";"8";"Mil pessoas";"34";"Mil pessoas"
"Amapá";"18 a 24 anos";"21";"Mil pessoas";"82";"Mil pessoas";"17";"Mil pessoas";"98";"Mil pessoas";"18";"Mil pessoas";"101";"Mil pessoas";"20";"Mil pessoas";"103";"Mil pessoas";"29";"Mil pessoas";"93";"Mil pessoas";"24";"Mil pessoas";"95";"Mil pessoas";"29";"Mil pessoas";"94";"Mil pessoas"
"Amapá";"25 a 29 anos";"16";"Mil pessoas";"59";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"13";"Mil pessoas";"62";"Mil pessoas";"13";"Mil pessoas";"63";"Mil pessoas";"20";"Mil pessoas";"62";"Mil pessoas";"15";"Mil pessoas";"68";"Mil pessoas";"15";"Mil pessoas";"72";"Mil pessoas"
"Amapá";"30 a 39 anos";"22";"Mil pessoas";"99";"Mil pessoas";"24";"Mil pessoas";"101";"Mil pessoas";"23";"Mil pessoas";"98";"Mil pessoas";"23";"Mil pessoas";"104";"Mil pessoas";"19";"Mil pessoas";"114";"Mil pessoas";"21";"Mil pessoas";"122";"Mil pessoas";"27";"Mil pessoas";"114";"Mil pessoas"
"Amapá";"40 a 59 anos";"28";"Mil pessoas";"114";"Mil pessoas";"22";"Mil pessoas";"132";"Mil pessoas";"26";"Mil pessoas";"137";"Mil pessoas";"27";"Mil pessoas";"137";"Mil pessoas";"37";"Mil pessoas";"149";"Mil pessoas";"30";"Mil pessoas";"163";"Mil pessoas";"35";"Mil pessoas";"166";"Mil pessoas"
"Amapá";"60 anos ou mais";"10";"Mil pessoas";"39";"Mil pessoas";"8";"Mil pessoas";"38";"Mil pessoas";"10";"Mil pessoas";"49";"Mil pessoas";"14";"Mil pessoas";"55";"Mil pessoas";"12";"Mil pessoas";"67";"Mil pessoas";"13";"Mil pessoas";"71";"Mil pessoas";"17";"Mil pessoas";"72";"Mil pessoas"
