"Tabela 7125 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
GR,2,Nordeste,2023,Total,18 anos ou mais,11.9,%
GR,2,Nordeste,2023,Total,25 anos ou mais,13.7,%
GR,2,Nordeste,2023,Total,40 anos ou mais,20.2,%
GR,2,Nordeste,2023,Total,60 anos ou mais,31.4,%
GR,2,Nordeste,2023,Branca,15 anos ou mais,9.3,%
GR,2,Nordeste,2023,Branca,18 anos ou mais,9.8,%
GR,2,Nordeste,2023,Branca,25 anos ou mais,11.2,%
GR,2,Nordeste,2023,Branca,40 anos ou mais,15.8,%
GR,2,Nordeste,2023,Branca,60 anos ou mais,23.9,%
GR,2,Nordeste,2023,Preta ou parda,15 anos ou mais,11.9,%
GR,2,Nordeste,2023,Preta ou parda,18 anos ou mais,12.6,%
GR,2,Nordeste,2023,Preta ou parda,25 anos ou mais,14.6,%
GR,2,Nordeste,2023,Preta ou parda,40 anos ou mais,21.7,%
GR,2,Nordeste,2023,Preta ou parda,60 anos ou mais,34.5,%
GR,2,Nordeste,2024,Total,15 anos ou mais,11.1,%
GR,2,Nordeste,2024,Total,18 anos ou mais,11.7,%
GR,2,Nordeste,2024,Total,25 anos ou mais,13.5,%
GR,2,Nordeste,2024,Total,40 anos ou mais,19.7,%
GR,2,Nordeste,2024,Total,60 anos ou mais,30.7,%
GR,2,Nordeste,2024,Branca,15 anos ou mais,8.8,%
GR,2,Nordeste,2024,Branca,18 anos ou mais,9.3,%
GR,2,Nordeste,2024,Branca,25 anos ou mais,10.7,%
GR,2,Nordeste,2024,Branca,40 anos ou mais,14.8,%
GR,2,Nordeste,2024,Branca,60 anos ou mais,22.4,%
GR,2,Nordeste,2024,Preta ou parda,15 anos ou mais,11.8,%
GR,2,Nordeste,2024,Preta ou parda,18 anos ou mais,12.5,%
GR,2,Nordeste,2024,Preta ou parda,25 anos ou mais,14.5,%
GR,2,Nordeste,2024,Preta ou parda,40 anos ou mais,21.4,%
GR,2,Nordeste,2024,Preta ou parda,60 anos ou mais,34.0,%
GR,3,Sudeste,2016,Total,15 anos ou mais,3.5,%
GR,3,Sudeste,2016,Total,18 anos ou mais,3.7,%
GR,3,Sudeste,2016,Total,25 anos ou mais,4.2,%
GR,3,Sudeste,2016,Total,40 anos ou mais,6.3,%
GR,3,Sudeste,2016,Total,60 anos ou mais,11.8,%
GR,3,Sudeste,2016,Branca,15 anos ou mais,2.4,%
GR,3,Sudeste,2016,Branca,18 anos ou mais,2.5,%
GR,3,Sudeste,2016,Branca,25 anos ou mais,2.9,%
GR,3,Sudeste,2016,Branca,40 anos ou mais,4.2,%
GR,3,Sudeste,2016,Branca,60 anos ou mais,7.9,%
GR,3,Sudeste,2016,Preta ou parda,15 anos ou mais,4.8,%
GR,3,Sudeste,2016,Preta ou parda,18 anos ou mais,5.1,%
GR,3,Sudeste,2016,Preta ou parda,25 anos ou mais,6.0,%
GR,3,Sudeste,2016,Preta ou parda,40 anos ou mais,9.1,%
GR,3,Sudeste,2016,Preta ou parda,60 anos ou mais,18.3,%
GR,3,Sudeste,2017,Total,15 anos ou mais,3.3,%
GR,3,Sudeste,2017,Total,18 anos ou mais,3.5,%
GR,3,Sudeste,2017,Total,25 anos ou mais,4.0,%
GR,3,Sudeste,2017,Total,40 anos ou mais,5.9,%
GR,3,Sudeste,2017,Total,60 anos ou mais,10.7,%
GR,3,Sudeste,2017,Branca,15 anos ou mais,2.4,%
GR,3,Sudeste,2017,Branca,18 anos ou mais,2.5,%
GR,3,Sudeste,2017,Branca,25 anos ou mais,2.8,%
GR,3,Sudeste,2017,Branca,40 anos ou mais,4.0,%
GR,3,Sudeste,2017,Branca,60 anos ou mais,7.4,%
GR,3,Sudeste,2017,Preta ou parda,15 anos ou mais,4.3,%
GR,3,Sudeste,2017,Preta ou parda,18 anos ou mais,4.5,%
GR,3,Sudeste,2017,Preta ou parda,25 anos ou mais,5.3,%
GR,3,Sudeste,2017,Preta ou parda,40 anos ou mais,8.2,%
GR,3,Sudeste,2017,Preta ou parda,60 anos ou mais,16.2,%
GR,3,Sudeste,2018,Total,15 anos ou mais,3.2,%
GR,3,Sudeste,2018,Total,18 anos ou mais,3.4,%
GR,3,Sudeste,2018,Total,25 anos ou mais,3.9,%
GR,3,Sudeste,2018,Total,40 anos ou mais,5.7,%
GR,3,Sudeste,2018,Total,60 anos ou mais,10.5,%
GR,3,Sudeste,2018,Branca,15 anos ou mais,2.2,%
GR,3,Sudeste,2018,Branca,18 anos ou mais,2.3,%
GR,3,Sudeste,2018,Branca,25 anos ou mais,2.6,%
GR,3,Sudeste,2018,Branca,40 anos ou mais,3.7,%
GR,3,Sudeste,2018,Branca,60 anos ou mais,6.7,%
GR,3,Sudeste,2018,Preta ou parda,15 anos ou mais,4.3,%
GR,3,Sudeste,2018,Preta ou parda,18 anos ou mais,4.5,%
GR,3,Sudeste,2018,Preta ou parda,25 anos ou mais,5.3,%
GR,3,Sudeste,2018,Preta ou parda,40 anos ou mais,8.2,%
GR,3,Sudeste,2018,Preta ou parda,60 anos ou mais,16.1,%
GR,3,Sudeste,2019,Total,15 anos ou mais,3.0,%
GR,3,Sudeste,2019,Total,18 anos ou mais,3.2,%
GR,3,Sudeste,2019,Total,25 anos ou mais,3.6,%
GR,3,Sudeste,2019,Total,40 anos ou mais,5.3,%
GR,3,Sudeste,2019,Total,60 anos ou mais,9.7,%
GR,3,Sudeste,2019,Branca,15 anos ou mais,2.0,%
GR,3,Sudeste,2019,Branca,18 anos ou mais,2.1,%
GR,3,Sudeste,2019,Branca,25 anos ou mais,2.3,%
GR,3,Sudeste,2019,Branca,40 anos ou mais,3.3,%
GR,3,Sudeste,2019,Branca,60 anos ou mais,6.1,%
GR,3,Sudeste,2019,Preta ou parda,15 anos ou mais,4.1,%
GR,3,Sudeste,2019,Preta ou parda,18 anos ou mais,4.4,%
GR,3,Sudeste,2019,Preta ou parda,25 anos ou mais,5.1,%
GR,3,Sudeste,2019,Preta ou parda,40 anos ou mais,7.8,%
GR,3,Sudeste,2019,Preta ou parda,60 anos ou mais,15.3,%
GR,3,Sudeste,2022,Total,15 anos ou mais,2.9,%
GR,3,Sudeste,2022,Total,18 anos ou mais,3.0,%
GR,3,Sudeste,2022,Total,25 anos ou mais,3.4,%
GR,3,Sudeste,2022,Total,40 anos ou mais,4.9,%
GR,3,Sudeste,2022,Total,60 anos ou mais,8.8,%
GR,3,Sudeste,2022,Branca,15 anos ou mais,2.1,%
GR,3,Sudeste,2022,Branca,18 anos ou mais,2.1,%
GR,3,Sudeste,2022,Branca,25 anos ou mais,2.4,%
GR,3,Sudeste,2022,Branca,40 anos ou mais,3.3,%
GR,3,Sudeste,2022,Branca,60 anos ou mais,5.8,%
GR,3,Sudeste,2022,Preta ou parda,15 anos ou mais,3.8,%
GR,3,Sudeste,2022,Preta ou parda,18 anos ou mais,4.0,%
GR,3,Sudeste,2022,Preta ou parda,25 anos ou mais,4.6,%
GR,3,Sudeste,2022,Preta ou parda,40 anos ou mais,6.8,%
GR,3,Sudeste,2022,Preta ou parda,60 anos ou mais,13.2,%
GR,3,Sudeste,2023,Total,15 anos ou mais,2.9,%
GR,3,Sudeste,2023,Total,18 anos ou mais,3.0,%
GR,3,Sudeste,2023,Total,25 anos ou mais,3.4,%
GR,3,Sudeste,2023,Total,40 anos ou mais,4.7,%
GR,3,Sudeste,2023,Total,60 anos ou mais,8.5,%
GR,3,Sudeste,2023,Branca,15 anos ou mais,1.9,%
