"Tabela 7444 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, de todos os trabalhos, a preços médios do último ano, por sexo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, a preços médios do último ano",,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,,
UF,13,Amazonas,2022,Homens,2246.0,Reais
UF,13,Amazonas,2022,Mulheres,2070.0,Reais
UF,13,Amazonas,2023,Homens,2636.0,Reais
UF,13,Amazonas,2023,Mulheres,2205.0,Reais
UF,13,Amazonas,2024,Homens,2350.0,Reais
UF,13,Amazonas,2024,Mulheres,2204.0,Reais
UF,14,Roraima,2012,Homens,3456.0,Reais
UF,14,Roraima,2012,Mulheres,2763.0,Reais
UF,14,Roraima,2013,Homens,3310.0,Reais
UF,14,Roraima,2013,Mulheres,2961.0,Reais
UF,14,Roraima,2014,Homens,3077.0,Reais
UF,14,Roraima,2014,Mulheres,2646.0,Reais
UF,14,Roraima,2015,Homens,3124.0,Reais
UF,14,Roraima,2015,Mulheres,2875.0,Reais
UF,14,Roraima,2016,Homens,3107.0,Reais
UF,14,Roraima,2016,Mulheres,2838.0,Reais
UF,14,Roraima,2017,Homens,2896.0,Reais
UF,14,Roraima,2017,Mulheres,2657.0,Reais
UF,14,Roraima,2018,Homens,3083.0,Reais
UF,14,Roraima,2018,Mulheres,3298.0,Reais
UF,14,Roraima,2019,Homens,3147.0,Reais
UF,14,Roraima,2019,Mulheres,2457.0,Reais
UF,14,Roraima,2020,Homens,2949.0,Reais
UF,14,Roraima,2020,Mulheres,2388.0,Reais
UF,14,Roraima,2021,Homens,2855.0,Reais
UF,14,Roraima,2021,Mulheres,2605.0,Reais
UF,14,Roraima,2022,Homens,2914.0,Reais
UF,14,Roraima,2022,Mulheres,2581.0,Reais
UF,14,Roraima,2023,Homens,3026.0,Reais
UF,14,Roraima,2023,Mulheres,2749.0,Reais
UF,14,Roraima,2024,Homens,2922.0,Reais
UF,14,Roraima,2024,Mulheres,2685.0,Reais
UF,15,Pará,2012,Homens,2290.0,Reais
UF,15,Pará,2012,Mulheres,1883.0,Reais
UF,15,Pará,2013,Homens,2193.0,Reais
